id,title,description,availability,condition,price,link,image_link
12,"Bottle Green Silk","fabric sheesha silk for shirt,silk trouser. Laces and stones on neckline and sleeves. Pearls and stones on dupatta border, Silk dupatta with organza border. Also available with a chifoon dupatta. Available in all sizes",in stock,new,12500 PKR,https://mstitch.pk/product?id=12,https://mstitch.pk/content/2NEW.jpeg
13,"Red Rose Anarkali Frock","Stitched 2 piece Lawn Anarkali Frock with dyed shifoon dupatta long length frock. Also available in a lawn dupatta. Available in all sizes. Can be customised in any size.",in stock,new,9500 PKR,https://mstitch.pk/product?id=13,https://mstitch.pk/content/8AI.jpg
14,"Pink Anarkali Frock","Stitched 2 piece Lawn Anarkali Frock with dyed shifoon dupatta long length frock. Also available in a lawn dupatta. Available in all sizes. Can be customised in any size.",in stock,new,9500 PKR,https://mstitch.pk/product?id=14,https://mstitch.pk/content/2AI.jpg
15,"Gul Bahar","3 piece stitched outfit Lawn Farshi shalwar with short shirt and double shade duppata. Shirt with back-fitting loops. Available in all sizes. Size cuatomization available.Lawn dupatta can also be added",in stock,new,6350 PKR,https://mstitch.pk/product?id=15,https://mstitch.pk/content/7AI.jpg
16,"Red Formal","Fabric summer cotton lawn. With organza dupatta. Premium quality laces on neckline, sleeves and dupatta. Also available in shifoon dupatta. Block printed farshi shalwaar. Available in all sizes ",in stock,new,6850 PKR,https://mstitch.pk/product?id=16,https://mstitch.pk/content/5AI.jpg
17,"Block Printed Black","Summer friedly Cotton Shirt and trousers. Black Shifon dupatta with laces. Block printing on shirt and dupatta. Milky laces on sleeves, trousers and dupatta. Tailor Stitched 3 piece outfit. Available in all sizes. Size customization available.",in stock,new,5950 PKR,https://mstitch.pk/product?id=17,https://mstitch.pk/content/7NEW.jpeg
18,"Printed Sharara","Lawn 3 piece stitched sirt with sharara. Fabric lawn for shirt and sharara. Organza dupatta. Organza embroided lace on shirt, dupatta and sharara. Available in all sizes. Size customization available.",in stock,new,6150 PKR,https://mstitch.pk/product?id=18,https://mstitch.pk/content/4AI.jpg
19,"Hand painted dupatta With suit","Hand painted organza dupatta with raw silk suit. Can be customized in any fabric. Sequence work on dupatta. Available in all sizes. Can be customized in any color, fabric and size.",in stock,new,12500 PKR,https://mstitch.pk/product?id=19,https://mstitch.pk/content/77.jpg
20,"Lawn 3 Piece stitched","Lawn 3 piece stitched. Fabric lawn for shirt dupatta and trousers. Premium lawn With milky laces Stitched 3 piece. Available in all sizes. Size customization available.",in stock,new,6150 PKR,https://mstitch.pk/product?id=20,https://mstitch.pk/content/91.jpeg
21,"Red Printed","Beautiful red outfit Tailor stitched 3 piece outfit Premium lawn for shirt and trousers Bamber shifoon dupatta with lace. Organza and milky laces on shirt. Stones on neckline. Lawn dupatta can also be added. Available in all sizes.",in stock,new,5950 PKR,https://mstitch.pk/product?id=21,https://mstitch.pk/content/7B.jpg
